artistname,artistURL,day,starttime,endtime,venue,category
Mannywellz,https://schedule.sxsw.com/2018/artists/18130,,None,TBD,TBD,Hip Hop / Rap
Many Rooms,https://schedule.sxsw.com/2018/artists/22566,"Mar 17, 2018",7:30pm , 8:10pm,Barracuda Backyard,Singer Songwriter
Many Rooms,https://schedule.sxsw.com/2018/artists/22566,"Mar 15, 2018",9:00pm , 9:40pm,CU29,Singer Songwriter
M.A.R. ,https://schedule.sxsw.com/2018/artists/23756,"Mar 14, 2018",8:10pm , 8:20pm,Mohawk Indoor,Hip Hop / Rap
Marco McKinnis,https://schedule.sxsw.com/2018/artists/23638,"Mar 15, 2018",11:00pm , 11:40pm,Lucille,R & B
Marc Scibilia,https://schedule.sxsw.com/2018/artists/22846,"Mar 14, 2018",10:00pm , 10:40pm,Maggie Mae's Rooftop,Singer Songwriter
Margaret Chavez,https://schedule.sxsw.com/2018/artists/20233,"Mar 17, 2018",9:00pm , 9:40pm,The Sidewinder Inside,Singer Songwriter
Marlo,https://schedule.sxsw.com/2018/artists/23721,"Mar 15, 2018",11:20pm , 11:35pm,Ironwood Hall,Hip Hop / Rap
Marlon Williams,https://schedule.sxsw.com/2018/artists/19880,"Mar 15, 2018",10:50pm , 11:30pm,Barracuda Backyard,Folk
Marlon Williams,https://schedule.sxsw.com/2018/artists/19880,"Mar 14, 2018",5:00pm , 5:40pm,Radio Day Stage Austin Convention Center,Folk
Marlon Williams,https://schedule.sxsw.com/2018/artists/19880,"Mar 14, 2018",12:45am , 1:30am,Palm Door on Sixth Patio,Folk
Marshmallow Coast,https://schedule.sxsw.com/2018/artists/22640,"Mar 15, 2018",8:00pm , 8:30pm,Seven Grand,Rock
Mary Ocher,https://schedule.sxsw.com/2018/artists/20108,"Mar 17, 2018",8:00pm , 8:40pm,Esther's Follies,Avant / Experimental
Masha,https://schedule.sxsw.com/2018/artists/22740,"Mar 17, 2018",9:30pm , 11:00pm,Kingdom,Electronic
Masha,https://schedule.sxsw.com/2018/artists/22740,"Mar 13, 2018",12:45am , 1:50am,Waller Ballroom,Electronic
Mason Flynt,https://schedule.sxsw.com/2018/artists/23683,"Mar 16, 2018",8:00pm , 9:30pm,Barcelona,DJ
Mathias.,https://schedule.sxsw.com/2018/artists/23857,"Mar 15, 2018",None,TBD,TBD,DJ
Matt Costa,https://schedule.sxsw.com/2018/artists/22786,"Mar 16, 2018",8:45pm , 9:25pm,The Sidewinder Inside,Rock
Matt Costa,https://schedule.sxsw.com/2018/artists/22786,"Mar 13, 2018",8:30pm , 9:10pm,The Gatsby,Rock
Mattiel,https://schedule.sxsw.com/2018/artists/20804,"Mar 17, 2018",9:30pm , 10:00pm,Hotel Vegas Patio,Rock
Mattiel,https://schedule.sxsw.com/2018/artists/20804,"Mar 15, 2018",11:00pm , 11:40pm,Continental Club,Rock
Mau Mau Chaplains,https://schedule.sxsw.com/2018/artists/23508,"Mar 13, 2018",8:00pm , 8:40pm,Flamingo Cantina,Reggae
Mauno,https://schedule.sxsw.com/2018/artists/20865,"Mar 15, 2018",8:00pm , 8:40pm,Blackheart,Pop
MAX,https://schedule.sxsw.com/2018/artists/22501,"Mar 15, 2018",11:30pm , 12:10am,Mohawk Indoor,Pop
Max Meser,https://schedule.sxsw.com/2018/artists/20864,"Mar 15, 2018",1:00am , 1:50am,CU29,Rock
Maxo Kream,https://schedule.sxsw.com/2018/artists/23680,"Mar 15, 2018",9:40pm , 10:00pm,Stubb's,Hip Hop / Rap
Maxo Kream,https://schedule.sxsw.com/2018/artists/23680,"Mar 17, 2018",1:15am , 1:50am,Empire Control Room,Hip Hop / Rap
Max Richter,https://schedule.sxsw.com/2018/artists/22689,"Mar 12, 2018",11:30pm , 8:00am,Bass Concert Hall,Classical
Mayah Dyson,https://schedule.sxsw.com/2018/artists/23474,"Mar 14, 2018",10:30pm , 10:45pm,Tap Room at The Market,R & B
MC Frontalot,https://schedule.sxsw.com/2018/artists/23346,"Mar 17, 2018",11:20pm , 12:00am,Karma Lounge,Hip Hop / Rap
Meanswell,https://schedule.sxsw.com/2018/artists/19672,"Mar 17, 2018",9:10pm , 9:40pm,Blackheart,Rock
Medicine Man Revival,https://schedule.sxsw.com/2018/artists/22362,"Mar 15, 2018",9:00pm , 9:40pm,Parish,R & B
The Medium,https://schedule.sxsw.com/2018/artists/23195,"Mar 17, 2018",8:00pm , 8:30pm,Cheer Up Charlie's,Rock
Megan Thee Stallion,https://schedule.sxsw.com/2018/artists/23712,"Mar 13, 2018",11:25pm , 11:40pm,Karma Lounge,Hip Hop / Rap
Mega Ran,https://schedule.sxsw.com/2018/artists/23034,"Mar 17, 2018",12:05am , 12:45am,Karma Lounge,Hip Hop / Rap
Mejor Actor De Reparto,https://schedule.sxsw.com/2018/artists/22028,"Mar 16, 2018",11:15pm , 11:55pm,Speakeasy Kabaret,Latin Indie 
